Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-28,INFY,EQ,1085.35,1085.4,1086.95,1074.05,1077.0,1077.5,1078.63,5629281,607191246530000.0,84046,4011003,0.7125
2016-07-29,INFY,EQ,1077.5,1072.6,1076.75,1066.5,1075.0,1073.85,1073.14,4078392,437668790780000.0,96309,3242921,0.7951
2016-08-01,INFY,EQ,1073.85,1071.5,1087.85,1068.35,1086.0,1085.25,1078.19,4548331,490396386539999.94,84226,3334677,0.7332
2016-08-02,INFY,EQ,1085.25,1079.9,1085.0,1075.0,1085.0,1083.8,1079.83,3411251,368356172700000.0,74776,2617201,0.7672
2016-08-03,INFY,EQ,1083.8,1085.65,1086.5,1070.3,1085.0,1084.9,1078.92,3606730,389137360120000.0,93756,2647344,0.7340000000000001
2016-08-04,INFY,EQ,1084.9,1086.4,1086.9,1070.05,1071.45,1071.8,1074.9,2118639,227733156730000.03,64592,1505266,0.7105
2016-08-05,INFY,EQ,1071.8,1072.0,1073.45,1060.0,1065.05,1068.0,1066.86,2804984,299253428590000.0,98969,1697874,0.6053000000000001
2016-08-08,INFY,EQ,1068.0,1069.0,1081.0,1062.55,1074.4,1078.7,1074.88,2321532,249537457965000.0,86035,1538673,0.6628000000000001
2016-08-09,INFY,EQ,1078.7,1077.0,1084.5,1071.5,1080.4,1083.4,1079.81,3596332,388336557975000.0,79692,2669754,0.7424
2016-08-10,INFY,EQ,1083.4,1076.0,1087.9,1075.2,1079.95,1082.35,1080.96,2788227,301396817890000.0,72781,2075895,0.7445
2016-08-11,INFY,EQ,1082.35,1081.7,1095.0,1075.25,1078.75,1077.35,1081.51,2519276,272463399465000.0,68282,1777921,0.7057
2016-08-12,INFY,EQ,1077.35,1075.05,1078.8,1060.0,1061.6,1062.55,1069.52,3724964,398391135455000.0,116371,3085743,0.8284
